 	Nu	F	H	U*	X	Y	S2	S3	S4	BLANKavg
400	78.31936	89.27798	94.51511	58.43142	60.06897	91.24497	99.09455	93.01016	97.17015	96.42495

420	85.23363	91.98971	95.59392	63.1225	72.32918	91.50425	99.48829	98.97109	99.5813	99.34689

435	87.88366	92.85258	96.22819	65.83581	77.77213	92.75339	99.46657	99.17898	99.66557	99.43704

450	89.58861	93.45711	96.70489	67.94783	81.55913	93.79011	99.48819	99.26623	99.80409	99.5195

465	90.80535	93.77348	97.12118	69.63572	84.07987	94.46465	99.47726	99.33028	99.83548	99.54767

480	91.61138	93.97221	97.46623	70.73679	85.76446	95.04932	99.47417	99.36316	99.85023	99.56252

495	92.16327	94.07037	97.64726	71.7839	87.11208	95.53848	99.54526	99.40673	99.88272	99.61157

510	92.66209	94.05637	97.88705	72.09377	88.26325	95.84045	99.51866	99.37018	99.95086	99.61323

525	93.56093	94.9108	98.01778	72.15787	89.51021	96.1772	99.56946	99.39405	99.93218	99.6319

540	94.22993	95.44376	98.11472	72.17212	90.40007	96.43899	99.59082	99.42313	99.95089	99.65495

555	94.73386	95.77293	98.20093	72.09804	91.24462	96.67058	99.56984	99.40016	99.95059	99.6402

570	95.14359	96.06656	98.27933	71.97733	92.00505	96.8703	99.6429	99.54159	99.92648	99.70366

585	95.52622	96.29369	98.41134	71.73112	92.65155	97.05563	99.60434	99.41543	99.94997	99.65658

600	95.88172	96.54312	98.40123	71.53046	93.31219	97.18724	99.62867	99.3969	99.8921	99.63922

615	96.17143	96.69246	98.49758	71.23001	93.8024	97.2857	99.67062	99.41931	99.90916	99.66636

630	96.41279	96.85675	98.50903	71.03742	94.26051	97.41881	99.64124	99.38344	99.9073	99.64399

650	96.7767	97.0517	98.62606	70.71807	94.68864	97.55396	99.67206	99.39286	99.946	99.67031
