Objective;Wavelength;Zoom;ETL-Left-Offset;ETL-Left-Amp;ETL-Right-Offset;ETL-Right-Amp
1x;405 nm;2x;3.437;0.39;3.8449999999999998;0.74
1x;405 nm;5x;3.5279999999999996;0.15;3.9899999999999998;0.32
1x;405 nm;10x;3.533;0.08;2.6510000000000002;0.16
1x;488 nm;2x;3.437;0.39;3.8449999999999998;0.74
1x;488 nm;5x;0.0;0.0;3.8850000000000002;0.38
1x;488 nm;10x;3.533;0.08;2.6510000000000002;0.16
1x;532 nm;2x;3.437;0.39;3.7249999999999996;0.785
1x;532 nm;5x;3.5279999999999996;0.15;3.8859999999999997;0.33
1x;532 nm;10x;3.533;0.08;3.411;0.17
1x;647 nm;2x;3.437;0.39;3.7249999999999996;0.785
1x;647 nm;5x;3.5279999999999996;0.15;3.8760000000000003;0.27
1x;647 nm;10x;3.533;0.08;3.411;0.17
